y_true,y_hat,date
68.0,71.81459,2022-03-08 13:40:17
130.0,130.61679,2022-03-08 13:41:40
116.0,117.83897,2022-03-08 13:44:11
88.0,89.94035,2022-03-08 13:46:19
84.0,64.702805,2022-03-08 13:48:33
72.0,78.31199,2022-03-08 13:50:04
103.0,109.96027,2022-03-08 13:51:44
127.0,123.9715,2022-03-08 13:53:47
165.0,144.42564,2022-03-08 13:58:31
124.00001,134.46669,2022-03-08 14:01:37
84.0,93.64152,2022-03-08 14:03:54
135.0,135.53226,2022-03-08 14:05:25
106.0,112.886604,2022-03-08 14:07:53
112.0,117.88837,2022-03-08 14:10:26
191.0,188.7914,2022-03-08 14:12:30
68.0,71.989815,2022-03-08 14:16:02
128.0,130.91492,2022-03-08 14:17:33
116.0,117.82809,2022-03-08 14:20:03
88.0,90.188126,2022-03-08 14:22:07
57.0,66.061676,2022-03-08 14:25:47
125.0,78.354416,2022-03-08 14:26:50
123.0,119.40294,2022-03-08 15:05:40
134.0,145.05447,2022-03-08 15:08:09
133.0,92.96378,2022-03-08 15:15:30
132.0,137.49872,2022-03-08 15:17:52
106.0,112.780266,2022-03-08 15:20:32
113.0,116.97053,2022-03-08 15:22:40
183.0,189.43333,2022-03-08 15:24:45
63.0,71.53392,2022-03-08 15:30:01
138.0,129.8393,2022-03-08 15:31:06
108.0,116.93993,2022-03-08 15:33:24
84.0,89.9557,2022-03-08 15:35:12
144.0,166.7677,2022-03-08 15:36:36
96.0,112.536995,2022-03-08 15:39:00
113.0,116.60608,2022-03-08 15:40:36
185.0,189.17445,2022-03-08 15:42:44
73.0,71.32575,2022-03-08 15:46:35
123.0,130.90027,2022-03-08 15:47:48
109.0,115.65699,2022-03-08 15:49:51
90.0,89.807465,2022-03-08 15:51:40
138.0,162.66023,2022-03-08 15:53:10
113.0,116.561005,2022-03-09 08:45:01
194.00002,189.77571,2022-03-09 08:47:16
69.0,70.29602,2022-03-09 08:51:18
128.0,130.88199,2022-03-09 08:52:49
115.0,116.19185,2022-03-09 08:55:20
86.0,89.459206,2022-03-09 08:57:39
82.0,64.68395,2022-03-09 09:09:01
73.0,86.19982,2022-03-09 09:10:44
102.0,109.72244,2022-03-09 09:12:48
133.0,117.07959,2022-03-09 09:14:51
222.0,141.9087,2022-03-09 09:17:29
167.0,131.60512,2022-03-09 09:21:32
99.0,98.031845,2022-03-09 09:24:42
113.0,116.36038,2022-03-10 11:33:48
236.0,190.14447,2022-03-10 11:36:03
69.0,72.12541,2022-03-10 11:40:22
129.0,129.45862,2022-03-10 11:41:53
116.0,116.27207,2022-03-10 11:44:25
88.0,89.87535,2022-03-10 11:46:43
60.0,63.535873,2022-03-10 11:48:33
78.0,82.89244,2022-03-10 11:49:55
97.0,135.42285,2022-03-10 12:26:27
131.0,139.86212,2022-03-10 13:58:11
107.0,110.703026,2022-03-10 14:00:32
113.0,117.81677,2022-03-10 14:02:27
186.0,196.88884,2022-03-10 14:04:32
70.0,72.63298,2022-03-10 14:07:47
130.0,130.29718,2022-03-10 14:09:06
117.0,117.87125,2022-03-10 14:12:03
87.0,90.911835,2022-03-10 14:14:29
57.0,65.775635,2022-03-10 14:16:18
72.0,78.817795,2022-03-10 14:17:27
102.0,110.24277,2022-03-10 14:19:06
180.0,119.75082,2022-03-10 14:20:54
132.0,153.39813,2022-03-10 14:24:20
148.0,130.72452,2022-03-10 14:26:54
84.0,100.7663,2022-03-10 14:29:43
133.0,139.0051,2022-03-10 14:31:14
107.0,111.49589,2022-03-10 14:34:13
112.0,117.71768,2022-03-10 14:36:13
183.0,193.94751,2022-03-10 14:38:27
69.0,72.3929,2022-03-10 14:41:52
128.0,130.53249,2022-03-10 14:43:23
116.0,117.93164,2022-03-10 14:45:54
88.0,91.12647,2022-03-10 14:48:18
145.0,156.98097,2022-03-10 14:59:22
109.0,112.46479,2022-03-10 15:01:47
112.0,117.77471,2022-03-10 15:03:57
182.0,190.0655,2022-03-10 15:06:12
68.0,72.594406,2022-03-10 15:09:37
131.0,130.73694,2022-03-10 15:11:32
119.0,118.256325,2022-03-10 15:14:06
88.0,91.594604,2022-03-10 15:16:18
140.0,158.08243,2022-03-10 15:20:27
112.0,116.88355,2022-03-11 08:46:22
184.0,189.71725,2022-03-11 08:48:38
69.0,71.97102,2022-03-11 08:52:04
137.0,131.18552,2022-03-11 08:53:36
116.0,118.2226,2022-03-11 08:56:16
88.0,90.08157,2022-03-11 08:58:34
61.0,62.41404,2022-03-11 09:00:23
73.0,78.13118,2022-03-11 09:01:44
102.0,109.92565,2022-03-11 09:03:25
141.0,126.21524,2022-03-11 09:05:53
158.0,148.46796,2022-03-11 09:08:39
153.0,128.72293,2022-03-11 09:11:38
